I_1 / A	&F / Vs
0,391	0,75
0,388	0,74
0,385	0,74
0,382	0,74
0,380	0,74
0,377	0,73
0,374	0,73
0,371	0,73
0,369	0,73
0,366	0,72
0,363	0,72
0,361	0,72
0,358	0,72
0,355	0,71
0,352	0,71
0,350	0,71
0,347	0,70
0,344	0,70
0,341	0,70
0,339	0,70
0,336	0,69
0,334	0,69
0,331	0,69
0,328	0,68
0,325	0,68
0,323	0,68
0,320	0,68
0,318	0,67
0,315	0,67
0,312	0,67
0,310	0,66
0,307	0,66
0,305	0,66
0,302	0,65
0,299	0,65
0,297	0,65
0,294	0,64
0,291	0,64
0,289	0,64
0,286	0,63
0,283	0,63
0,281	0,63
0,278	0,62
0,276	0,62
0,273	0,61
0,271	0,61
0,268	0,61
0,265	0,60
0,262	0,60
0,260	0,60
0,257	0,59
0,255	0,59
0,252	0,58
0,249	0,58
0,247	0,58
0,244	0,57
0,241	0,57
0,239	0,56
0,236	0,56
0,233	0,56
0,231	0,55
0,228	0,55
0,225	0,54
0,223	0,54
0,220	0,53
0,217	0,53
0,215	0,53
0,212	0,52
0,209	0,52
0,207	0,51
0,204	0,51
0,202	0,50
0,199	0,50
0,196	0,49
0,193	0,49
0,190	0,49
0,188	0,48
0,185	0,48
0,182	0,47
0,180	0,47
0,177	0,46
0,174	0,46
0,172	0,45
0,169	0,45
0,166	0,44
0,164	0,44
0,161	0,43
0,158	0,43
0,155	0,42
0,152	0,42
0,150	0,41
0,147	0,41
0,144	0,40
0,141	0,40
0,139	0,39
0,136	0,39
0,133	0,38
0,130	0,38
0,127	0,37
0,124	0,37
0,121	0,36
0,119	0,35
0,116	0,35
0,113	0,34
0,110	0,34
0,107	0,33
0,105	0,33
0,101	0,32
0,098	0,32
0,096	0,31
0,093	0,31
0,090	0,30
0,087	0,29
0,084	0,29
0,081	0,28
0,078	0,28
0,075	0,27
0,073	0,27
0,070	0,26
0,067	0,25
0,064	0,25
0,061	0,24
0,058	0,24
0,055	0,23
0,052	0,22
0,049	0,22
0,046	0,21
0,043	0,21
0,040	0,20
0,037	0,20
0,034	0,19
0,031	0,18
0,028	0,18
0,025	0,17
0,022	0,17
0,019	0,16
0,016	0,15
0,013	0,15
0,009	0,14
0,006	0,14
0,003	0,13
-0,001	0,12
-0,004	0,12
-0,006	0,11
-0,010	0,10
-0,013	0,10
-0,016	0,09
-0,019	0,09
-0,022	0,08
-0,026	0,07
-0,029	0,07
-0,032	0,06
-0,035	0,06
-0,038	0,05
-0,042	0,04
-0,045	0,04
-0,048	0,03
-0,051	0,02
-0,054	0,02
-0,057	0,01
-0,061	0,01
-0,064	0,00
-0,067	-0,01
-0,070	-0,01
-0,074	-0,02
-0,077	-0,03
-0,080	-0,03
-0,083	-0,04
-0,086	-0,04
-0,090	-0,05
-0,093	-0,06
-0,096	-0,06
-0,099	-0,07
-0,103	-0,08
-0,106	-0,08
-0,109	-0,09
-0,112	-0,09
-0,116	-0,10
-0,119	-0,11
-0,122	-0,11
-0,125	-0,12
-0,129	-0,13
-0,132	-0,13
-0,135	-0,14
-0,139	-0,14
-0,142	-0,15
-0,145	-0,16
-0,149	-0,16
-0,152	-0,17
-0,155	-0,18
-0,158	-0,18
-0,162	-0,19
-0,165	-0,19
-0,168	-0,20
-0,172	-0,21
-0,175	-0,21
-0,178	-0,22
-0,182	-0,23
-0,185	-0,23
-0,188	-0,24
-0,192	-0,24
-0,195	-0,25
-0,198	-0,26
-0,202	-0,26
-0,205	-0,27
-0,209	-0,27
-0,212	-0,28
-0,215	-0,29
-0,219	-0,29
-0,222	-0,30
-0,226	-0,31
-0,229	-0,31
-0,232	-0,32
-0,236	-0,32
-0,239	-0,33
-0,243	-0,34
-0,246	-0,34
-0,249	-0,35
-0,253	-0,35
-0,257	-0,36
-0,260	-0,37
-0,264	-0,37
-0,267	-0,38
-0,271	-0,38
-0,274	-0,39
-0,278	-0,40
-0,281	-0,40
-0,285	-0,41
-0,288	-0,41
-0,292	-0,42
-0,296	-0,43
-0,299	-0,43
-0,303	-0,44
-0,306	-0,44
-0,310	-0,45
-0,314	-0,46
-0,317	-0,46
-0,321	-0,47
-0,325	-0,47
-0,328	-0,48
-0,332	-0,48
-0,336	-0,49
-0,339	-0,50
-0,343	-0,50
-0,347	-0,51
-0,351	-0,51
-0,354	-0,52
-0,358	-0,52
-0,362	-0,53
-0,366	-0,54
-0,370	-0,54
-0,373	-0,55
-0,377	-0,55
-0,381	-0,56
-0,385	-0,56
-0,389	-0,57
-0,393	-0,57
-0,397	-0,58
-0,401	-0,58
-0,405	-0,59
-0,409	-0,59
-0,413	-0,60
-0,417	-0,60
-0,421	-0,61
-0,425	-0,61
-0,429	-0,62
-0,433	-0,62
-0,437	-0,63
-0,441	-0,63
-0,445	-0,64
-0,449	-0,64
-0,453	-0,65
-0,457	-0,65
-0,461	-0,66
-0,465	-0,66
-0,469	-0,67
-0,474	-0,67
-0,478	-0,68
-0,482	-0,68
-0,486	-0,69
-0,491	-0,69
-0,495	-0,69
-0,499	-0,70
-0,503	-0,70
-0,508	-0,71
-0,512	-0,71
-0,517	-0,72
-0,521	-0,72
-0,526	-0,72
-0,530	-0,73
-0,534	-0,73
-0,539	-0,74
-0,543	-0,74
-0,548	-0,74
-0,552	-0,75
-0,557	-0,75
-0,561	-0,75
-0,566	-0,76
-0,570	-0,76
-0,575	-0,76
-0,579	-0,77
-0,584	-0,77
-0,589	-0,77
-0,593	-0,78
-0,598	-0,78
-0,602	-0,78
-0,607	-0,79
-0,611	-0,79
-0,616	-0,79
-0,620	-0,79
-0,625	-0,80
-0,629	-0,80
-0,634	-0,80
-0,638	-0,81
-0,643	-0,81
-0,647	-0,81
-0,652	-0,81
-0,656	-0,82
-0,661	-0,82
-0,665	-0,82
-0,670	-0,82
-0,674	-0,82
-0,679	-0,83
-0,683	-0,83
-0,687	-0,83
-0,692	-0,83
-0,696	-0,83
-0,700	-0,84
-0,704	-0,84
-0,709	-0,84
-0,713	-0,84
-0,717	-0,84
-0,721	-0,85
-0,726	-0,85
-0,730	-0,85
-0,734	-0,85
-0,738	-0,85
-0,742	-0,85
-0,746	-0,86
-0,750	-0,86
-0,754	-0,86
-0,758	-0,86
-0,762	-0,86
-0,766	-0,86
-0,770	-0,86
-0,773	-0,87
-0,778	-0,87
-0,781	-0,87
-0,785	-0,87
-0,789	-0,87
-0,793	-0,87
-0,796	-0,87
-0,800	-0,87
-0,804	-0,88
-0,807	-0,88
-0,811	-0,88
-0,814	-0,88
-0,816	-0,88
-0,818	-0,88
-0,819	-0,88
-0,820	-0,88
-0,820	-0,88
-0,819	-0,88
-0,818	-0,88
-0,816	-0,88
-0,814	-0,88
-0,812	-0,88
-0,809	-0,88
-0,807	-0,88
-0,804	-0,88
-0,801	-0,88
-0,798	-0,88
-0,795	-0,88
-0,792	-0,88
-0,789	-0,88
-0,786	-0,88
-0,783	-0,87
-0,780	-0,87
-0,776	-0,87
-0,773	-0,87
-0,770	-0,87
-0,767	-0,87
-0,764	-0,87
-0,760	-0,87
-0,757	-0,87
-0,754	-0,87
-0,751	-0,87
-0,747	-0,87
-0,744	-0,87
-0,741	-0,87
-0,738	-0,87
-0,734	-0,87
-0,731	-0,87
-0,728	-0,86
-0,725	-0,86
-0,721	-0,86
-0,718	-0,86
-0,715	-0,86
-0,711	-0,86
-0,708	-0,86
-0,705	-0,86
-0,702	-0,86
-0,699	-0,86
-0,696	-0,86
-0,692	-0,86
-0,689	-0,86
-0,686	-0,86
-0,683	-0,86
-0,680	-0,85
-0,677	-0,85
-0,674	-0,85
-0,670	-0,85
-0,667	-0,85
-0,664	-0,85
-0,661	-0,85
-0,658	-0,85
-0,654	-0,85
-0,651	-0,85
-0,648	-0,85
-0,645	-0,85
-0,642	-0,84
-0,639	-0,84
-0,636	-0,84
-0,632	-0,84
-0,629	-0,84
-0,626	-0,84
-0,623	-0,84
-0,620	-0,84
-0,617	-0,84
-0,614	-0,84
-0,611	-0,84
-0,607	-0,84
-0,604	-0,83
-0,601	-0,83
-0,598	-0,83
-0,595	-0,83
-0,592	-0,83
-0,589	-0,83
-0,586	-0,83
-0,583	-0,83
-0,580	-0,83
-0,577	-0,83
-0,574	-0,82
-0,571	-0,82
-0,568	-0,82
-0,565	-0,82
-0,562	-0,82
-0,559	-0,82
-0,556	-0,82
-0,553	-0,82
-0,550	-0,82
-0,547	-0,81
-0,544	-0,81
-0,541	-0,81
-0,538	-0,81
-0,535	-0,81
-0,532	-0,81
-0,529	-0,81
-0,526	-0,81
-0,523	-0,80
-0,520	-0,80
-0,517	-0,80
-0,514	-0,80
-0,511	-0,80
-0,508	-0,80
-0,505	-0,80
-0,502	-0,79
-0,499	-0,79
-0,496	-0,79
-0,493	-0,79
-0,490	-0,79
-0,487	-0,79
-0,485	-0,79
-0,482	-0,78
-0,479	-0,78
-0,476	-0,78
-0,473	-0,78
-0,470	-0,78
-0,467	-0,78
-0,464	-0,77
-0,461	-0,77
-0,458	-0,77
-0,456	-0,77
-0,453	-0,77
-0,450	-0,77
-0,447	-0,76
-0,444	-0,76
-0,441	-0,76
-0,439	-0,76
-0,436	-0,76
-0,433	-0,75
-0,430	-0,75
-0,427	-0,75
-0,425	-0,75
-0,422	-0,75
-0,419	-0,74
-0,416	-0,74
-0,414	-0,74
-0,411	-0,74
-0,408	-0,73
-0,405	-0,73
-0,403	-0,73
-0,400	-0,73
-0,397	-0,73
-0,394	-0,72
-0,392	-0,72
-0,389	-0,72
-0,386	-0,72
-0,383	-0,71
-0,381	-0,71
-0,378	-0,71
-0,375	-0,71
-0,372	-0,70
-0,370	-0,70
-0,367	-0,70
-0,364	-0,70
-0,362	-0,69
-0,359	-0,69
-0,357	-0,69
-0,354	-0,69
-0,351	-0,68
-0,348	-0,68
-0,346	-0,68
-0,343	-0,67
-0,340	-0,67
-0,338	-0,67
-0,335	-0,67
-0,332	-0,66
-0,330	-0,66
-0,327	-0,66
-0,325	-0,65
-0,322	-0,65
-0,320	-0,65
-0,317	-0,64
-0,314	-0,64
-0,312	-0,64
-0,309	-0,63
-0,307	-0,63
-0,304	-0,63
-0,301	-0,62
-0,299	-0,62
-0,296	-0,62
-0,294	-0,61
-0,291	-0,61
-0,288	-0,61
-0,286	-0,60
-0,283	-0,60
-0,281	-0,60
-0,278	-0,59
-0,275	-0,59
-0,273	-0,59
-0,270	-0,58
-0,267	-0,58
-0,265	-0,57
-0,262	-0,57
-0,260	-0,57
-0,257	-0,56
-0,254	-0,56
-0,252	-0,55
-0,249	-0,55
-0,246	-0,55
-0,244	-0,54
-0,241	-0,54
-0,239	-0,53
-0,236	-0,53
-0,233	-0,53
-0,231	-0,52
-0,228	-0,52
-0,225	-0,51
-0,223	-0,51
-0,220	-0,50
-0,218	-0,50
-0,215	-0,50
-0,212	-0,49
-0,209	-0,49
-0,207	-0,48
-0,204	-0,48
-0,201	-0,47
-0,199	-0,47
-0,196	-0,46
-0,193	-0,46
-0,191	-0,46
-0,188	-0,45
-0,185	-0,45
-0,182	-0,44
-0,180	-0,44
-0,177	-0,43
-0,174	-0,43
-0,171	-0,42
-0,169	-0,42
-0,166	-0,41
-0,163	-0,41
-0,160	-0,40
-0,158	-0,40
-0,155	-0,39
-0,152	-0,39
-0,150	-0,38
-0,147	-0,38
-0,144	-0,37
-0,141	-0,37
-0,138	-0,36
-0,136	-0,36
-0,133	-0,35
-0,130	-0,34
-0,127	-0,34
-0,124	-0,33
-0,121	-0,33
-0,119	-0,32
-0,117	-0,32
-0,113	-0,31
-0,110	-0,31
-0,107	-0,30
-0,104	-0,30
-0,101	-0,29
-0,099	-0,29
-0,096	-0,28
-0,093	-0,27
-0,090	-0,27
-0,087	-0,26
-0,084	-0,26
-0,082	-0,25
-0,078	-0,25
-0,076	-0,24
-0,073	-0,23
-0,070	-0,23
-0,067	-0,22
-0,064	-0,22
-0,061	-0,21
-0,058	-0,21
-0,055	-0,20
-0,052	-0,19
-0,049	-0,19
-0,046	-0,18
-0,043	-0,18
-0,040	-0,17
-0,037	-0,17
-0,034	-0,16
-0,031	-0,15
-0,028	-0,15
-0,025	-0,14
-0,022	-0,14
-0,019	-0,13
-0,016	-0,12
-0,013	-0,12
-0,010	-0,11
-0,009	-0,11
-0,004	-0,10
-0,001	-0,09
0,003	-0,09
0,006	-0,08
0,009	-0,08
0,012	-0,07
0,015	-0,06
0,018	-0,06
0,021	-0,05
0,025	-0,04
0,028	-0,04
0,031	-0,03
0,034	-0,03
0,037	-0,02
0,040	-0,01
0,043	-0,01
0,047	0,00
0,050	0,01
0,053	0,01
0,056	0,02
0,059	0,02
0,062	0,03
0,066	0,04
0,069	0,04
0,072	0,05
0,075	0,06
0,079	0,06
0,082	0,07
0,085	0,07
0,088	0,08
0,092	0,09
0,094	0,09
0,098	0,10
0,101	0,11
0,105	0,11
0,108	0,12
0,111	0,12
0,114	0,13
0,117	0,14
0,121	0,14
0,124	0,15
0,128	0,16
0,131	0,16
0,134	0,17
0,137	0,18
0,141	0,18
0,144	0,19
0,147	0,19
0,151	0,20
0,154	0,21
0,157	0,21
0,161	0,22
0,164	0,23
0,167	0,23
0,171	0,24
0,174	0,25
0,177	0,25
0,181	0,26
0,184	0,26
0,188	0,27
0,191	0,28
0,194	0,28
0,198	0,29
0,201	0,30
0,204	0,30
0,208	0,31
0,211	0,32
0,215	0,32
0,218	0,33
0,222	0,33
0,225	0,34
0,229	0,35
0,232	0,35
0,236	0,36
0,239	0,37
0,243	0,37
0,246	0,38
0,250	0,39
0,253	0,39
0,257	0,40
0,260	0,40
0,264	0,41
0,267	0,42
0,271	0,42
0,274	0,43
0,278	0,43
0,282	0,44
0,285	0,45
0,289	0,45
0,293	0,46
0,296	0,47
0,300	0,47
0,304	0,48
0,307	0,48
0,311	0,49
0,315	0,50
0,318	0,50
0,322	0,51
0,326	0,51
0,330	0,52
0,333	0,53
0,337	0,53
0,341	0,54
0,345	0,54
0,349	0,55
0,353	0,56
0,356	0,56
0,360	0,57
0,364	0,57
0,368	0,58
0,372	0,58
0,376	0,59
0,380	0,60
0,384	0,60
0,388	0,61
0,392	0,61
0,396	0,62
0,400	0,62
0,404	0,63
0,408	0,63
0,412	0,64
0,416	0,65
0,420	0,65
0,424	0,66
0,428	0,66
0,433	0,67
0,437	0,67
0,441	0,68
0,445	0,68
0,449	0,69
0,453	0,69
0,458	0,70
0,462	0,70
0,466	0,71
0,471	0,71
0,475	0,72
0,479	0,72
0,483	0,73
0,488	0,73
0,492	0,74
0,497	0,74
0,501	0,74
0,506	0,75
0,510	0,75
0,515	0,76
0,519	0,76
0,524	0,77
0,528	0,77
0,533	0,78
0,538	0,78
0,542	0,78
0,547	0,79
0,551	0,79
0,556	0,80
0,561	0,80
0,565	0,80
0,570	0,81
0,574	0,81
0,579	0,81
0,584	0,82
0,588	0,82
0,593	0,83
0,598	0,83
0,602	0,83
0,607	0,84
0,612	0,84
0,616	0,84
0,621	0,84
0,626	0,85
0,630	0,85
0,635	0,85
0,639	0,86
0,644	0,86
0,648	0,86
0,653	0,86
0,657	0,87
0,662	0,87
0,666	0,87
0,671	0,88
0,675	0,88
0,679	0,88
0,684	0,88
0,688	0,88
0,692	0,89
0,697	0,89
0,701	0,89
0,705	0,89
0,709	0,90
0,713	0,90
0,717	0,90
0,721	0,90
0,726	0,90
0,730	0,91
0,734	0,91
0,738	0,91
0,742	0,91
0,745	0,91
0,749	0,92
0,753	0,92
0,757	0,92
0,761	0,92
0,765	0,92
0,769	0,92
0,772	0,93
0,776	0,93
0,780	0,93
0,784	0,93
0,787	0,93
0,791	0,93
