I_1 / A	&F / Vs
-0,010	0,00
-0,010	0,00
-0,009	0,00
-0,009	0,00
-0,008	0,00
-0,007	0,00
-0,005	0,00
-0,005	0,00
-0,004	0,00
-0,003	0,01
-0,001	0,01
0,001	0,01
0,003	0,01
0,004	0,01
0,006	0,01
0,007	0,01
0,009	0,02
0,011	0,02
0,013	0,02
0,015	0,02
0,017	0,02
0,019	0,02
0,021	0,02
0,023	0,03
0,025	0,03
0,027	0,03
0,029	0,03
0,032	0,03
0,034	0,04
0,036	0,04
0,038	0,04
0,041	0,04
0,043	0,05
0,046	0,05
0,048	0,05
0,050	0,05
0,052	0,06
0,055	0,06
0,057	0,06
0,060	0,06
0,062	0,07
0,065	0,07
0,067	0,07
0,069	0,08
0,072	0,08
0,074	0,08
0,077	0,08
0,079	0,09
0,082	0,09
0,084	0,09
0,087	0,10
0,089	0,10
0,092	0,10
0,095	0,11
0,099	0,11
0,100	0,11
0,102	0,12
0,105	0,12
0,107	0,12
0,110	0,13
0,112	0,13
0,115	0,14
0,117	0,14
0,120	0,14
0,122	0,15
0,125	0,15
0,128	0,15
0,130	0,16
0,133	0,16
0,135	0,17
0,138	0,17
0,141	0,17
0,143	0,18
0,146	0,18
0,149	0,19
0,151	0,19
0,154	0,19
0,156	0,20
0,159	0,20
0,162	0,21
0,164	0,21
0,167	0,22
0,170	0,22
0,173	0,22
0,175	0,23
0,178	0,23
0,180	0,24
0,183	0,24
0,186	0,25
0,189	0,25
0,191	0,26
0,194	0,26
0,197	0,27
0,200	0,27
0,203	0,27
0,205	0,28
0,208	0,28
0,211	0,29
0,214	0,29
0,217	0,30
0,219	0,30
0,222	0,31
0,225	0,31
0,228	0,32
0,231	0,32
0,234	0,33
0,237	0,33
0,239	0,34
0,242	0,34
0,245	0,35
0,248	0,35
0,251	0,36
0,255	0,36
0,258	0,37
0,261	0,37
0,264	0,38
0,267	0,38
0,270	0,39
0,273	0,39
0,277	0,40
0,280	0,40
0,283	0,41
0,286	0,41
0,289	0,42
0,292	0,42
0,296	0,43
0,299	0,44
0,302	0,44
0,305	0,45
0,309	0,45
0,312	0,46
0,315	0,46
0,319	0,47
0,322	0,47
0,325	0,48
0,329	0,48
0,332	0,49
0,335	0,49
0,339	0,50
0,342	0,50
0,345	0,51
0,348	0,51
0,350	0,52
0,353	0,53
0,356	0,53
0,360	0,54
0,363	0,54
0,367	0,55
0,370	0,55
0,374	0,56
0,378	0,56
0,381	0,57
0,385	0,57
0,389	0,58
0,392	0,58
0,396	0,59
0,400	0,60
0,404	0,60
0,407	0,61
0,411	0,61
0,415	0,62
0,419	0,62
0,422	0,63
0,426	0,63
0,430	0,64
0,434	0,64
0,438	0,65
0,442	0,65
0,446	0,66
0,450	0,66
0,454	0,67
0,458	0,67
0,462	0,68
0,466	0,68
0,470	0,69
0,474	0,69
0,478	0,70
0,483	0,70
0,487	0,71
0,491	0,71
0,495	0,72
0,500	0,72
0,504	0,72
0,509	0,73
0,513	0,73
0,518	0,74
0,522	0,74
0,527	0,75
0,531	0,75
0,535	0,76
0,540	0,76
0,544	0,76
0,549	0,77
0,553	0,77
0,558	0,78
0,562	0,78
0,567	0,78
0,571	0,79
0,576	0,79
0,580	0,79
0,585	0,80
0,589	0,80
0,594	0,80
0,598	0,81
0,603	0,81
0,607	0,82
0,612	0,82
0,616	0,82
0,621	0,82
0,625	0,83
0,630	0,83
0,634	0,83
0,639	0,84
0,643	0,84
0,647	0,84
0,652	0,85
0,657	0,85
0,661	0,85
0,665	0,85
0,669	0,86
0,674	0,86
0,678	0,86
0,682	0,86
0,687	0,87
0,691	0,87
0,695	0,87
0,699	0,87
0,703	0,88
0,707	0,88
0,711	0,88
0,715	0,88
0,719	0,88
0,723	0,89
0,727	0,89
0,731	0,89
0,735	0,89
0,739	0,89
0,743	0,90
0,747	0,90
0,751	0,90
0,755	0,90
0,758	0,90
0,762	0,90
0,766	0,91
0,770	0,91
0,774	0,91
0,777	0,91
0,781	0,91
0,785	0,91
0,788	0,92
0,792	0,92
0,795	0,92
0,798	0,92
0,801	0,92
0,802	0,92
0,803	0,92
0,804	0,92
0,804	0,92
0,804	0,92
0,803	0,92
0,801	0,92
0,799	0,92
0,797	0,92
0,795	0,92
0,792	0,92
0,789	0,92
0,786	0,92
0,784	0,92
0,781	0,92
0,778	0,92
0,775	0,92
0,772	0,92
0,768	0,92
0,765	0,92
0,762	0,92
0,759	0,92
0,756	0,92
0,753	0,92
0,750	0,92
0,747	0,92
0,743	0,92
0,740	0,92
0,737	0,92
0,734	0,92
0,731	0,92
0,728	0,91
0,725	0,91
0,721	0,91
0,718	0,91
0,715	0,91
0,712	0,91
0,709	0,91
0,706	0,91
0,702	0,91
0,699	0,91
0,696	0,91
0,693	0,91
0,690	0,91
0,687	0,91
0,683	0,91
0,680	0,91
0,677	0,91
0,674	0,91
0,671	0,91
0,668	0,90
0,665	0,90
0,661	0,90
0,658	0,90
0,655	0,90
0,652	0,90
0,649	0,90
0,646	0,90
0,642	0,90
0,639	0,90
0,636	0,90
0,633	0,90
0,630	0,90
0,626	0,90
0,623	0,89
0,620	0,89
0,617	0,89
0,614	0,89
0,610	0,89
0,607	0,89
0,604	0,89
0,601	0,89
0,598	0,89
0,595	0,89
0,592	0,89
0,588	0,88
0,585	0,88
0,582	0,88
0,579	0,88
0,576	0,88
0,573	0,88
0,570	0,88
0,567	0,88
0,564	0,88
0,561	0,87
0,557	0,87
0,554	0,87
0,551	0,87
0,548	0,87
0,545	0,87
0,542	0,87
0,539	0,87
0,536	0,87
0,533	0,86
0,530	0,86
0,527	0,86
0,524	0,86
0,521	0,86
0,518	0,86
0,515	0,86
0,512	0,86
0,509	0,85
0,506	0,85
0,503	0,85
0,500	0,85
0,497	0,85
0,494	0,85
0,491	0,85
0,488	0,84
0,485	0,84
0,482	0,84
0,479	0,84
0,476	0,84
0,473	0,84
0,471	0,83
0,468	0,83
0,465	0,83
0,462	0,83
0,459	0,83
0,456	0,83
0,453	0,82
0,450	0,82
0,447	0,82
0,445	0,82
0,442	0,82
0,439	0,81
0,436	0,81
0,433	0,81
0,430	0,81
0,427	0,81
0,425	0,80
0,422	0,80
0,419	0,80
0,416	0,80
0,413	0,80
0,411	0,79
0,408	0,79
0,405	0,79
0,402	0,79
0,399	0,78
0,397	0,78
0,394	0,78
0,391	0,78
0,389	0,77
0,386	0,77
0,383	0,77
0,380	0,77
0,377	0,76
0,375	0,76
0,372	0,76
0,369	0,76
0,366	0,75
0,364	0,75
0,361	0,75
0,358	0,75
0,356	0,74
0,353	0,74
0,350	0,74
0,347	0,74
0,345	0,73
0,342	0,73
0,340	0,73
0,337	0,72
0,334	0,72
0,332	0,72
0,329	0,71
0,326	0,71
0,323	0,71
0,321	0,70
0,318	0,70
0,316	0,70
0,313	0,69
0,310	0,69
0,308	0,69
0,305	0,68
0,303	0,68
0,300	0,68
0,297	0,67
0,295	0,67
0,292	0,67
0,289	0,66
0,287	0,66
0,284	0,66
0,282	0,65
0,279	0,65
0,276	0,65
0,274	0,64
0,271	0,64
0,268	0,63
0,266	0,63
0,263	0,63
0,261	0,62
0,258	0,62
0,255	0,61
0,253	0,61
0,250	0,61
0,247	0,60
0,244	0,60
0,242	0,59
0,239	0,59
0,237	0,59
0,234	0,58
0,231	0,58
0,229	0,57
0,226	0,57
0,223	0,56
0,221	0,56
0,218	0,56
0,215	0,55
0,213	0,55
0,210	0,54
0,207	0,54
0,205	0,53
0,202	0,53
0,199	0,52
0,197	0,52
0,194	0,52
0,191	0,51
0,188	0,51
0,186	0,50
0,183	0,50
0,181	0,49
0,178	0,49
0,175	0,48
0,172	0,48
0,170	0,47
0,167	0,47
0,164	0,46
0,161	0,46
0,158	0,45
0,156	0,45
0,153	0,44
0,150	0,44
0,147	0,43
0,145	0,43
0,142	0,42
0,139	0,41
0,136	0,41
0,134	0,40
0,131	0,40
0,128	0,39
0,125	0,39
0,122	0,38
0,119	0,38
0,116	0,37
0,113	0,37
0,111	0,36
0,108	0,36
0,105	0,35
0,102	0,34
0,099	0,34
0,096	0,33
0,093	0,33
0,091	0,32
0,088	0,32
0,085	0,31
0,082	0,30
0,079	0,30
0,076	0,29
0,073	0,29
0,070	0,28
0,067	0,28
0,064	0,27
0,061	0,26
0,058	0,26
0,055	0,25
0,052	0,25
0,049	0,24
0,047	0,23
0,044	0,23
0,041	0,22
0,037	0,22
0,034	0,21
0,031	0,21
0,028	0,20
0,025	0,19
0,022	0,19
0,019	0,18
0,016	0,17
0,013	0,17
0,010	0,16
0,007	0,16
0,003	0,15
0,001	0,14
-0,003	0,14
-0,008	0,13
-0,009	0,13
-0,013	0,12
-0,016	0,11
-0,019	0,11
-0,022	0,10
-0,025	0,09
-0,028	0,09
-0,031	0,08
-0,035	0,08
-0,038	0,07
-0,041	0,06
-0,044	0,06
-0,047	0,05
-0,051	0,05
-0,054	0,04
-0,057	0,03
-0,060	0,03
-0,063	0,02
-0,067	0,01
-0,070	0,01
-0,073	0,00
-0,076	-0,01
-0,079	-0,01
-0,083	-0,02
-0,086	-0,02
-0,089	-0,03
-0,092	-0,04
-0,096	-0,04
-0,099	-0,05
-0,102	-0,06
-0,106	-0,06
-0,109	-0,07
-0,112	-0,07
-0,115	-0,08
-0,119	-0,09
-0,122	-0,09
-0,125	-0,10
-0,129	-0,11
-0,132	-0,11
-0,135	-0,12
-0,138	-0,12
-0,142	-0,13
-0,145	-0,14
-0,148	-0,14
-0,152	-0,15
-0,155	-0,16
-0,158	-0,16
-0,161	-0,17
-0,165	-0,17
-0,168	-0,18
-0,171	-0,19
-0,175	-0,19
-0,178	-0,20
-0,181	-0,21
-0,185	-0,21
-0,188	-0,22
-0,191	-0,22
-0,195	-0,23
-0,198	-0,24
-0,202	-0,24
-0,205	-0,25
-0,208	-0,25
-0,212	-0,26
-0,215	-0,27
-0,218	-0,27
-0,222	-0,28
-0,225	-0,29
-0,229	-0,29
-0,232	-0,30
-0,235	-0,30
-0,239	-0,31
-0,242	-0,32
-0,246	-0,32
-0,249	-0,33
-0,253	-0,33
-0,257	-0,34
-0,260	-0,35
-0,263	-0,35
-0,267	-0,36
-0,270	-0,37
-0,274	-0,37
-0,278	-0,38
-0,281	-0,38
-0,285	-0,39
-0,288	-0,40
-0,292	-0,40
-0,295	-0,41
-0,299	-0,41
-0,303	-0,42
-0,306	-0,43
-0,310	-0,43
-0,313	-0,44
-0,317	-0,44
-0,320	-0,45
-0,324	-0,46
-0,328	-0,46
-0,332	-0,47
-0,335	-0,47
-0,339	-0,48
-0,343	-0,48
-0,347	-0,49
-0,350	-0,50
-0,354	-0,50
-0,358	-0,51
-0,362	-0,51
-0,366	-0,52
-0,369	-0,52
-0,373	-0,53
-0,377	-0,54
-0,381	-0,54
-0,385	-0,55
-0,389	-0,55
-0,393	-0,56
-0,397	-0,56
-0,400	-0,57
-0,404	-0,57
-0,408	-0,58
-0,412	-0,58
-0,416	-0,59
-0,420	-0,59
-0,424	-0,60
-0,428	-0,61
-0,432	-0,61
-0,436	-0,62
-0,440	-0,62
-0,444	-0,63
-0,448	-0,63
-0,453	-0,63
-0,457	-0,64
-0,461	-0,64
-0,465	-0,65
-0,469	-0,65
-0,473	-0,66
-0,477	-0,66
-0,482	-0,67
-0,486	-0,67
-0,490	-0,68
-0,494	-0,68
-0,499	-0,69
-0,503	-0,69
-0,507	-0,70
-0,512	-0,70
-0,516	-0,70
-0,521	-0,71
-0,525	-0,71
-0,530	-0,72
-0,534	-0,72
-0,538	-0,72
-0,543	-0,73
-0,547	-0,73
-0,552	-0,74
-0,556	-0,74
-0,561	-0,74
-0,565	-0,75
-0,570	-0,75
-0,575	-0,75
-0,579	-0,76
-0,584	-0,76
-0,588	-0,76
-0,592	-0,77
-0,597	-0,77
-0,602	-0,77
-0,606	-0,78
-0,611	-0,78
-0,615	-0,78
-0,620	-0,79
-0,624	-0,79
-0,629	-0,79
-0,633	-0,80
-0,638	-0,80
-0,643	-0,80
-0,647	-0,80
-0,651	-0,81
-0,656	-0,81
-0,660	-0,81
-0,665	-0,81
-0,669	-0,82
-0,674	-0,82
-0,678	-0,82
-0,683	-0,82
-0,687	-0,83
-0,691	-0,83
-0,695	-0,83
-0,700	-0,83
-0,704	-0,83
-0,708	-0,84
-0,713	-0,84
-0,717	-0,84
-0,721	-0,84
-0,725	-0,84
-0,729	-0,85
-0,733	-0,85
-0,738	-0,85
-0,741	-0,85
-0,746	-0,85
-0,749	-0,86
-0,754	-0,86
-0,757	-0,86
-0,761	-0,86
-0,765	-0,86
-0,770	-0,86
