I_1 / A	&F / Vs
-0,010	0,00
-0,010	0,00
-0,010	0,00
-0,009	0,00
-0,008	0,00
-0,007	0,00
-0,008	0,00
-0,006	0,00
-0,004	0,00
-0,003	0,00
-0,002	0,00
-0,001	0,01
0,001	0,01
0,002	0,01
0,004	0,01
0,006	0,01
0,007	0,01
0,009	0,02
0,011	0,02
0,012	0,02
0,014	0,02
0,016	0,02
0,018	0,02
0,019	0,03
0,021	0,03
0,024	0,03
0,026	0,03
0,027	0,04
0,029	0,04
0,032	0,04
0,034	0,04
0,036	0,05
0,038	0,05
0,040	0,05
0,042	0,05
0,044	0,06
0,046	0,06
0,049	0,06
0,051	0,07
0,053	0,07
0,055	0,07
0,057	0,07
0,059	0,08
0,062	0,08
0,064	0,08
0,066	0,09
0,068	0,09
0,070	0,09
0,073	0,10
0,075	0,10
0,077	0,11
0,079	0,11
0,082	0,11
0,084	0,12
0,086	0,12
0,088	0,12
0,091	0,13
0,093	0,13
0,095	0,14
0,097	0,14
0,100	0,14
0,102	0,15
0,104	0,15
0,107	0,16
0,109	0,16
0,111	0,17
0,114	0,17
0,116	0,18
0,118	0,18
0,121	0,18
0,123	0,19
0,125	0,19
0,128	0,20
0,130	0,20
0,133	0,21
0,135	0,21
0,137	0,22
0,140	0,22
0,142	0,23
0,144	0,23
0,146	0,24
0,148	0,24
0,151	0,25
0,153	0,25
0,156	0,26
0,158	0,26
0,160	0,27
0,163	0,27
0,166	0,28
0,168	0,28
0,171	0,29
0,173	0,30
0,176	0,30
0,178	0,31
0,181	0,31
0,183	0,32
0,186	0,32
0,187	0,33
0,190	0,34
0,193	0,34
0,195	0,35
0,198	0,35
0,201	0,36
0,203	0,36
0,207	0,37
0,209	0,38
0,212	0,38
0,215	0,39
0,219	0,40
0,222	0,40
0,225	0,41
0,228	0,41
0,231	0,42
0,234	0,43
0,237	0,43
0,240	0,44
0,243	0,45
0,246	0,45
0,249	0,46
0,252	0,47
0,255	0,47
0,259	0,48
0,262	0,48
0,265	0,49
0,269	0,50
0,272	0,50
0,275	0,51
0,277	0,51
0,280	0,52
0,284	0,53
0,288	0,53
0,291	0,54
0,295	0,55
0,299	0,55
0,302	0,56
0,306	0,57
0,310	0,57
0,314	0,58
0,317	0,58
0,321	0,59
0,325	0,60
0,329	0,60
0,333	0,61
0,337	0,61
0,341	0,62
0,345	0,63
0,348	0,63
0,352	0,64
0,356	0,64
0,360	0,65
0,364	0,66
0,368	0,66
0,372	0,67
0,377	0,67
0,381	0,68
0,385	0,68
0,390	0,69
0,394	0,70
0,398	0,70
0,403	0,71
0,407	0,71
0,411	0,72
0,415	0,72
0,419	0,73
0,421	0,73
0,426	0,74
0,430	0,74
0,435	0,75
0,440	0,75
0,445	0,76
0,449	0,76
0,454	0,77
0,459	0,77
0,464	0,78
0,469	0,78
0,473	0,79
0,478	0,79
0,483	0,80
0,489	0,80
0,494	0,81
0,499	0,81
0,503	0,81
0,509	0,82
0,514	0,82
0,519	0,83
0,524	0,83
0,529	0,83
0,534	0,84
0,539	0,84
0,544	0,85
0,549	0,85
0,554	0,85
0,560	0,86
0,564	0,86
0,569	0,86
0,574	0,87
0,579	0,87
0,584	0,87
0,589	0,88
0,593	0,88
0,598	0,88
0,603	0,88
0,608	0,89
0,612	0,89
0,617	0,89
0,621	0,89
0,626	0,90
0,630	0,90
0,635	0,90
0,639	0,90
0,644	0,91
0,648	0,91
0,652	0,91
0,656	0,91
0,660	0,92
0,665	0,92
0,669	0,92
0,673	0,92
0,677	0,92
0,681	0,93
0,685	0,93
0,689	0,93
0,693	0,93
0,697	0,94
0,700	0,94
0,704	0,94
0,708	0,94
0,712	0,94
0,716	0,94
0,719	0,95
0,723	0,95
0,726	0,95
0,730	0,95
0,734	0,95
0,737	0,96
0,741	0,96
0,745	0,96
0,749	0,96
0,752	0,96
0,756	0,97
0,759	0,97
0,763	0,97
0,767	0,97
0,770	0,97
0,773	0,97
0,776	0,98
0,780	0,98
0,783	0,98
0,787	0,98
0,791	0,98
0,795	0,99
0,798	0,99
0,801	0,99
0,803	0,99
0,804	0,99
0,805	0,99
0,806	0,99
0,805	0,99
0,804	0,99
0,803	0,99
0,801	0,99
0,798	0,99
0,796	0,99
0,793	0,99
0,791	0,99
0,788	0,99
0,785	0,99
0,782	0,99
0,779	0,99
0,776	0,99
0,773	0,99
0,770	0,99
0,766	0,99
0,763	0,99
0,760	0,99
0,757	0,99
0,754	0,99
0,751	0,99
0,747	0,99
0,744	0,99
0,741	0,99
0,738	0,99
0,735	0,99
0,732	0,99
0,728	0,99
0,725	0,99
0,722	0,99
0,719	0,99
0,716	0,99
0,713	0,99
0,709	0,99
0,706	0,99
0,703	0,99
0,700	0,99
0,697	0,99
0,693	0,99
0,690	0,99
0,687	0,99
0,684	0,99
0,681	0,99
0,677	0,99
0,674	0,99
0,671	0,99
0,668	0,99
0,665	0,99
0,662	0,99
0,658	0,99
0,655	0,99
0,652	0,99
0,649	0,99
0,646	0,99
0,643	0,99
0,639	0,99
0,636	0,99
0,633	0,99
0,630	0,98
0,626	0,98
0,623	0,98
0,620	0,98
0,617	0,98
0,613	0,98
0,610	0,98
0,607	0,98
0,604	0,98
0,601	0,98
0,597	0,98
0,594	0,98
0,591	0,98
0,588	0,98
0,585	0,98
0,582	0,98
0,578	0,98
0,575	0,98
0,572	0,98
0,569	0,98
0,566	0,97
0,562	0,97
0,559	0,97
0,556	0,97
0,553	0,97
0,550	0,97
0,547	0,97
0,544	0,97
0,541	0,97
0,538	0,97
0,535	0,97
0,531	0,97
0,528	0,97
0,525	0,97
0,522	0,97
0,519	0,96
0,516	0,96
0,513	0,96
0,510	0,96
0,507	0,96
0,504	0,96
0,501	0,96
0,497	0,96
0,494	0,96
0,491	0,96
0,488	0,96
0,485	0,95
0,482	0,95
0,479	0,95
0,476	0,95
0,473	0,95
0,470	0,95
0,467	0,95
0,464	0,95
0,461	0,95
0,458	0,95
0,455	0,95
0,452	0,94
0,449	0,94
0,446	0,94
0,443	0,94
0,440	0,94
0,437	0,94
0,434	0,94
0,431	0,93
0,428	0,93
0,425	0,93
0,423	0,93
0,420	0,93
0,417	0,93
0,414	0,93
0,411	0,93
0,408	0,92
0,405	0,92
0,402	0,92
0,399	0,92
0,397	0,92
0,394	0,92
0,391	0,91
0,388	0,91
0,385	0,91
0,382	0,91
0,379	0,91
0,377	0,91
0,374	0,90
0,371	0,90
0,368	0,90
0,365	0,90
0,363	0,90
0,360	0,90
0,357	0,89
0,354	0,89
0,351	0,89
0,349	0,89
0,346	0,89
0,343	0,88
0,341	0,88
0,338	0,88
0,335	0,88
0,333	0,87
0,330	0,87
0,327	0,87
0,325	0,87
0,322	0,87
0,319	0,86
0,317	0,86
0,314	0,86
0,312	0,86
0,309	0,85
0,306	0,85
0,304	0,85
0,302	0,85
0,299	0,84
0,296	0,84
0,294	0,84
0,291	0,83
0,289	0,83
0,286	0,83
0,284	0,83
0,281	0,82
0,279	0,82
0,276	0,82
0,274	0,81
0,271	0,81
0,269	0,81
0,266	0,80
0,264	0,80
0,261	0,80
0,259	0,79
0,256	0,79
0,254	0,79
0,251	0,78
0,249	0,78
0,246	0,78
0,244	0,77
0,241	0,77
0,239	0,77
0,236	0,76
0,234	0,76
0,232	0,76
0,229	0,75
0,226	0,75
0,224	0,74
0,221	0,74
0,219	0,74
0,217	0,73
0,214	0,73
0,211	0,72
0,209	0,72
0,207	0,71
0,204	0,71
0,202	0,71
0,199	0,70
0,197	0,70
0,194	0,69
0,192	0,69
0,189	0,68
0,187	0,68
0,184	0,67
0,181	0,67
0,179	0,67
0,176	0,66
0,174	0,66
0,171	0,65
0,169	0,65
0,166	0,64
0,164	0,64
0,162	0,63
0,159	0,63
0,156	0,62
0,154	0,62
0,151	0,61
0,149	0,61
0,146	0,60
0,144	0,60
0,141	0,59
0,139	0,58
0,136	0,58
0,133	0,57
0,131	0,57
0,128	0,56
0,126	0,56
0,123	0,55
0,121	0,55
0,118	0,54
0,115	0,54
0,113	0,53
0,110	0,52
0,108	0,52
0,105	0,51
0,102	0,51
0,100	0,50
0,097	0,50
0,095	0,49
0,092	0,48
0,090	0,48
0,087	0,47
0,084	0,47
0,082	0,46
0,079	0,45
0,077	0,45
0,075	0,44
0,071	0,44
0,069	0,43
0,066	0,42
0,064	0,42
0,061	0,41
0,059	0,40
0,056	0,40
0,053	0,39
0,051	0,38
0,048	0,38
0,045	0,37
0,043	0,36
0,040	0,36
0,037	0,35
0,035	0,34
0,032	0,34
0,029	0,33
0,027	0,32
0,024	0,31
0,021	0,31
0,019	0,30
0,016	0,29
0,013	0,29
0,011	0,28
0,008	0,27
0,005	0,27
0,002	0,26
-0,001	0,25
-0,004	0,24
-0,008	0,24
-0,008	0,23
-0,012	0,22
-0,015	0,22
-0,017	0,21
-0,020	0,20
-0,023	0,19
-0,026	0,19
-0,028	0,18
-0,031	0,17
-0,034	0,16
-0,037	0,16
-0,039	0,15
-0,042	0,14
-0,045	0,13
-0,048	0,12
-0,051	0,12
-0,054	0,11
-0,057	0,10
-0,060	0,09
-0,063	0,09
-0,065	0,08
-0,068	0,07
-0,071	0,06
-0,074	0,06
-0,077	0,05
-0,080	0,04
-0,083	0,03
-0,086	0,02
-0,089	0,02
-0,092	0,01
-0,095	0,00
-0,098	-0,01
-0,101	-0,01
-0,104	-0,02
-0,107	-0,03
-0,110	-0,04
-0,113	-0,05
-0,116	-0,05
-0,120	-0,06
-0,123	-0,07
-0,126	-0,08
-0,129	-0,09
-0,132	-0,09
-0,135	-0,10
-0,139	-0,11
-0,142	-0,12
-0,145	-0,13
-0,148	-0,13
-0,152	-0,14
-0,155	-0,15
-0,158	-0,16
-0,162	-0,17
-0,165	-0,17
-0,168	-0,18
-0,172	-0,19
-0,175	-0,20
-0,179	-0,20
-0,182	-0,21
-0,185	-0,22
-0,189	-0,23
-0,192	-0,24
-0,196	-0,24
-0,199	-0,25
-0,203	-0,26
-0,206	-0,27
-0,210	-0,28
-0,213	-0,28
-0,217	-0,29
-0,220	-0,30
-0,224	-0,31
-0,228	-0,31
-0,231	-0,32
-0,235	-0,33
-0,238	-0,34
-0,242	-0,35
-0,246	-0,35
-0,249	-0,36
-0,253	-0,37
-0,257	-0,38
-0,261	-0,38
-0,264	-0,39
-0,268	-0,40
-0,272	-0,41
-0,276	-0,41
-0,280	-0,42
-0,283	-0,43
-0,287	-0,44
-0,291	-0,45
-0,295	-0,45
-0,299	-0,46
-0,303	-0,47
-0,307	-0,48
-0,311	-0,48
-0,315	-0,49
-0,319	-0,50
-0,323	-0,50
-0,327	-0,51
-0,332	-0,52
-0,336	-0,53
-0,340	-0,53
-0,344	-0,54
-0,348	-0,55
-0,353	-0,55
-0,357	-0,56
-0,361	-0,57
-0,366	-0,57
-0,370	-0,58
-0,375	-0,59
-0,379	-0,59
-0,384	-0,60
-0,388	-0,61
-0,393	-0,61
-0,398	-0,62
-0,402	-0,63
-0,407	-0,63
-0,412	-0,64
-0,417	-0,64
-0,421	-0,65
-0,426	-0,66
-0,431	-0,66
-0,436	-0,67
-0,441	-0,67
-0,446	-0,68
-0,451	-0,68
-0,456	-0,69
-0,461	-0,69
-0,467	-0,70
-0,472	-0,70
-0,477	-0,71
-0,482	-0,71
-0,488	-0,72
-0,493	-0,72
-0,498	-0,73
-0,504	-0,73
-0,509	-0,74
-0,515	-0,74
-0,521	-0,75
-0,526	-0,75
-0,531	-0,75
-0,537	-0,76
-0,542	-0,76
-0,548	-0,77
-0,553	-0,77
-0,558	-0,77
-0,564	-0,78
-0,569	-0,78
-0,574	-0,78
-0,580	-0,79
-0,585	-0,79
-0,590	-0,79
-0,595	-0,79
-0,600	-0,80
-0,605	-0,80
-0,610	-0,80
-0,615	-0,81
-0,620	-0,81
-0,624	-0,81
-0,629	-0,81
-0,634	-0,82
-0,639	-0,82
-0,643	-0,82
-0,648	-0,82
-0,652	-0,82
-0,657	-0,83
-0,661	-0,83
-0,666	-0,83
-0,670	-0,83
-0,674	-0,83
-0,678	-0,84
-0,683	-0,84
-0,687	-0,84
-0,691	-0,84
-0,695	-0,84
-0,699	-0,85
-0,703	-0,85
-0,707	-0,85
-0,711	-0,85
-0,716	-0,85
-0,719	-0,85
-0,724	-0,85
-0,728	-0,86
-0,731	-0,86
-0,735	-0,86
-0,739	-0,86
-0,743	-0,86
-0,747	-0,86
-0,751	-0,86
-0,755	-0,87
-0,758	-0,87
-0,762	-0,87
-0,766	-0,87
-0,769	-0,87
-0,773	-0,87
-0,777	-0,87
-0,781	-0,87
-0,784	-0,88
-0,788	-0,88
