I_1 / A	&F / Vs
-0,010	0,00
-0,010	0,00
-0,010	0,00
-0,009	0,00
-0,009	0,00
-0,006	0,00
-0,007	0,00
-0,005	0,00
-0,004	0,00
-0,003	0,00
-0,002	0,01
0,001	0,01
0,002	0,01
0,003	0,01
0,005	0,01
0,007	0,01
0,008	0,01
0,010	0,02
0,012	0,02
0,014	0,02
0,016	0,02
0,018	0,02
0,020	0,02
0,022	0,03
0,024	0,03
0,026	0,03
0,028	0,03
0,030	0,03
0,033	0,04
0,035	0,04
0,037	0,04
0,039	0,04
0,042	0,05
0,044	0,05
0,046	0,05
0,049	0,05
0,051	0,06
0,053	0,06
0,055	0,06
0,058	0,07
0,060	0,07
0,062	0,07
0,065	0,07
0,067	0,08
0,070	0,08
0,072	0,08
0,074	0,09
0,077	0,09
0,079	0,09
0,082	0,10
0,084	0,10
0,087	0,10
0,089	0,11
0,091	0,11
0,094	0,11
0,096	0,12
0,099	0,12
0,101	0,12
0,104	0,13
0,106	0,13
0,109	0,13
0,111	0,14
0,114	0,14
0,116	0,15
0,118	0,15
0,121	0,15
0,124	0,16
0,126	0,16
0,129	0,16
0,131	0,17
0,134	0,17
0,137	0,18
0,139	0,18
0,142	0,19
0,144	0,19
0,147	0,19
0,149	0,20
0,152	0,20
0,155	0,21
0,157	0,21
0,160	0,22
0,163	0,22
0,165	0,22
0,168	0,23
0,171	0,23
0,173	0,24
0,176	0,24
0,179	0,25
0,181	0,25
0,184	0,26
0,187	0,26
0,190	0,27
0,193	0,27
0,195	0,27
0,198	0,28
0,201	0,28
0,204	0,29
0,207	0,29
0,210	0,30
0,213	0,30
0,215	0,31
0,218	0,31
0,221	0,32
0,224	0,32
0,227	0,33
0,230	0,33
0,233	0,34
0,236	0,34
0,239	0,35
0,242	0,35
0,245	0,36
0,249	0,36
0,252	0,37
0,255	0,37
0,258	0,38
0,261	0,38
0,265	0,39
0,268	0,39
0,271	0,40
0,274	0,40
0,277	0,41
0,281	0,41
0,284	0,42
0,287	0,42
0,291	0,43
0,294	0,43
0,297	0,44
0,301	0,44
0,304	0,45
0,307	0,45
0,311	0,46
0,314	0,46
0,318	0,47
0,321	0,47
0,325	0,48
0,328	0,48
0,332	0,49
0,335	0,49
0,339	0,50
0,342	0,50
0,346	0,51
0,349	0,52
0,353	0,52
0,356	0,53
0,360	0,53
0,364	0,54
0,367	0,54
0,371	0,55
0,375	0,55
0,378	0,56
0,382	0,56
0,386	0,56
0,390	0,57
0,394	0,57
0,398	0,58
0,401	0,58
0,405	0,59
0,409	0,59
0,413	0,60
0,417	0,60
0,421	0,61
0,424	0,61
0,428	0,62
0,432	0,62
0,436	0,63
0,440	0,63
0,444	0,64
0,448	0,64
0,452	0,64
0,456	0,65
0,460	0,65
0,464	0,66
0,468	0,66
0,472	0,67
0,476	0,67
0,480	0,67
0,484	0,68
0,488	0,68
0,492	0,69
0,496	0,69
0,500	0,70
0,504	0,70
0,509	0,70
0,513	0,71
0,517	0,71
0,521	0,72
0,526	0,72
0,530	0,72
0,534	0,73
0,538	0,73
0,542	0,73
0,547	0,74
0,551	0,74
0,555	0,75
0,559	0,75
0,564	0,75
0,568	0,76
0,572	0,76
0,577	0,76
0,581	0,77
0,585	0,77
0,589	0,77
0,594	0,78
0,598	0,78
0,602	0,78
0,606	0,79
0,611	0,79
0,615	0,79
0,619	0,79
0,624	0,80
0,628	0,80
0,632	0,80
0,637	0,81
0,641	0,81
0,646	0,81
0,650	0,81
0,654	0,82
0,659	0,82
0,663	0,82
0,668	0,82
0,672	0,83
0,676	0,83
0,680	0,83
0,685	0,83
0,689	0,84
0,693	0,84
0,697	0,84
0,701	0,84
0,706	0,84
0,710	0,85
0,714	0,85
0,718	0,85
0,722	0,85
0,726	0,85
0,730	0,85
0,734	0,86
0,738	0,86
0,742	0,86
0,746	0,86
0,750	0,86
0,753	0,87
0,757	0,87
0,761	0,87
0,765	0,87
0,769	0,87
0,773	0,87
0,776	0,87
0,780	0,88
0,783	0,88
0,787	0,88
0,791	0,88
0,794	0,88
0,797	0,88
0,800	0,88
0,801	0,88
0,803	0,88
0,803	0,89
0,803	0,89
0,803	0,89
0,802	0,89
0,800	0,88
0,798	0,88
0,796	0,88
0,794	0,88
0,791	0,88
0,789	0,88
0,786	0,88
0,783	0,88
0,780	0,88
0,777	0,88
0,774	0,88
0,771	0,88
0,768	0,88
0,765	0,88
0,762	0,88
0,759	0,88
0,755	0,88
0,752	0,88
0,749	0,88
0,746	0,88
0,743	0,88
0,740	0,88
0,737	0,88
0,733	0,88
0,730	0,88
0,727	0,88
0,724	0,87
0,721	0,87
0,718	0,87
0,715	0,87
0,711	0,87
0,708	0,87
0,705	0,87
0,702	0,87
0,698	0,87
0,695	0,87
0,692	0,87
0,689	0,87
0,686	0,87
0,683	0,87
0,679	0,87
0,676	0,87
0,673	0,87
0,670	0,86
0,667	0,86
0,664	0,86
0,661	0,86
0,658	0,86
0,654	0,86
0,651	0,86
0,648	0,86
0,645	0,86
0,642	0,86
0,638	0,86
0,635	0,86
0,632	0,86
0,629	0,85
0,626	0,85
0,623	0,85
0,619	0,85
0,616	0,85
0,613	0,85
0,610	0,85
0,607	0,85
0,603	0,85
0,600	0,85
0,597	0,85
0,594	0,85
0,591	0,84
0,588	0,84
0,585	0,84
0,582	0,84
0,578	0,84
0,575	0,84
0,572	0,84
0,569	0,84
0,566	0,84
0,563	0,84
0,560	0,83
0,557	0,83
0,554	0,83
0,551	0,83
0,548	0,83
0,545	0,83
0,542	0,83
0,539	0,83
0,535	0,83
0,533	0,82
0,530	0,82
0,527	0,82
0,524	0,82
0,521	0,82
0,518	0,82
0,515	0,82
0,511	0,82
0,508	0,81
0,505	0,81
0,502	0,81
0,499	0,81
0,496	0,81
0,494	0,81
0,491	0,81
0,487	0,80
0,485	0,80
0,482	0,80
0,479	0,80
0,476	0,80
0,473	0,80
0,470	0,79
0,467	0,79
0,464	0,79
0,461	0,79
0,458	0,79
0,455	0,79
0,453	0,78
0,450	0,78
0,447	0,78
0,444	0,78
0,441	0,78
0,438	0,78
0,435	0,77
0,432	0,77
0,429	0,77
0,427	0,77
0,424	0,77
0,421	0,76
0,418	0,76
0,416	0,76
0,413	0,76
0,410	0,76
0,407	0,75
0,404	0,75
0,402	0,75
0,399	0,75
0,396	0,74
0,393	0,74
0,391	0,74
0,388	0,74
0,385	0,73
0,382	0,73
0,380	0,73
0,377	0,73
0,374	0,72
0,371	0,72
0,369	0,72
0,366	0,72
0,363	0,71
0,360	0,71
0,358	0,71
0,355	0,71
0,352	0,70
0,350	0,70
0,347	0,70
0,344	0,70
0,342	0,69
0,339	0,69
0,336	0,69
0,334	0,68
0,331	0,68
0,328	0,68
0,326	0,67
0,323	0,67
0,320	0,67
0,318	0,67
0,315	0,66
0,313	0,66
0,310	0,66
0,307	0,65
0,305	0,65
0,302	0,65
0,299	0,64
0,297	0,64
0,294	0,64
0,291	0,63
0,289	0,63
0,286	0,63
0,283	0,62
0,281	0,62
0,278	0,61
0,276	0,61
0,273	0,61
0,270	0,60
0,268	0,60
0,265	0,60
0,263	0,59
0,260	0,59
0,257	0,59
0,255	0,58
0,252	0,58
0,249	0,57
0,247	0,57
0,244	0,57
0,241	0,56
0,239	0,56
0,236	0,55
0,233	0,55
0,231	0,55
0,228	0,54
0,225	0,54
0,223	0,53
0,220	0,53
0,218	0,52
0,215	0,52
0,212	0,52
0,210	0,51
0,207	0,51
0,204	0,50
0,202	0,50
0,199	0,49
0,196	0,49
0,194	0,48
0,191	0,48
0,188	0,48
0,186	0,47
0,183	0,47
0,180	0,46
0,177	0,46
0,175	0,45
0,172	0,45
0,169	0,44
0,166	0,44
0,164	0,43
0,161	0,43
0,158	0,42
0,156	0,42
0,153	0,41
0,150	0,41
0,147	0,40
0,144	0,40
0,142	0,39
0,139	0,39
0,136	0,38
0,133	0,38
0,130	0,37
0,128	0,37
0,125	0,36
0,122	0,35
0,119	0,35
0,116	0,34
0,113	0,34
0,111	0,33
0,108	0,33
0,105	0,32
0,102	0,32
0,099	0,31
0,096	0,31
0,093	0,30
0,090	0,29
0,088	0,29
0,085	0,28
0,082	0,28
0,079	0,27
0,076	0,27
0,073	0,26
0,070	0,26
0,067	0,25
0,064	0,24
0,061	0,24
0,058	0,23
0,055	0,23
0,053	0,22
0,050	0,21
0,047	0,21
0,044	0,20
0,041	0,20
0,038	0,19
0,035	0,19
0,031	0,18
0,029	0,17
0,025	0,17
0,022	0,16
0,019	0,15
0,016	0,15
0,013	0,14
0,010	0,14
0,007	0,13
0,004	0,12
0,001	0,12
-0,003	0,11
-0,007	0,11
-0,010	0,10
-0,012	0,09
-0,015	0,09
-0,019	0,08
-0,022	0,08
-0,025	0,07
-0,028	0,06
-0,031	0,06
-0,035	0,05
-0,037	0,04
-0,041	0,04
-0,044	0,03
-0,047	0,03
-0,051	0,02
-0,053	0,01
-0,057	0,01
-0,060	0,00
-0,063	-0,01
-0,066	-0,01
-0,069	-0,02
-0,073	-0,02
-0,076	-0,03
-0,079	-0,04
-0,082	-0,04
-0,085	-0,05
-0,089	-0,06
-0,092	-0,06
-0,095	-0,07
-0,098	-0,07
-0,102	-0,08
-0,105	-0,09
-0,108	-0,09
-0,111	-0,10
-0,115	-0,11
-0,118	-0,11
-0,121	-0,12
-0,124	-0,12
-0,128	-0,13
-0,131	-0,14
-0,134	-0,14
-0,138	-0,15
-0,141	-0,16
-0,144	-0,16
-0,148	-0,17
-0,151	-0,17
-0,154	-0,18
-0,157	-0,19
-0,161	-0,19
-0,164	-0,20
-0,167	-0,21
-0,171	-0,21
-0,174	-0,22
-0,177	-0,22
-0,181	-0,23
-0,184	-0,24
-0,187	-0,24
-0,191	-0,25
-0,194	-0,26
-0,197	-0,26
-0,201	-0,27
-0,204	-0,27
-0,208	-0,28
-0,211	-0,29
-0,214	-0,29
-0,218	-0,30
-0,221	-0,31
-0,225	-0,31
-0,228	-0,32
-0,231	-0,32
-0,235	-0,33
-0,238	-0,34
-0,242	-0,34
-0,245	-0,35
-0,249	-0,35
-0,252	-0,36
-0,256	-0,37
-0,259	-0,37
-0,263	-0,38
-0,266	-0,39
-0,270	-0,39
-0,273	-0,40
-0,277	-0,40
-0,280	-0,41
-0,284	-0,42
-0,288	-0,42
-0,291	-0,43
-0,295	-0,43
-0,298	-0,44
-0,302	-0,45
-0,305	-0,45
-0,309	-0,46
-0,313	-0,46
-0,316	-0,47
-0,320	-0,48
-0,324	-0,48
-0,327	-0,49
-0,331	-0,49
-0,335	-0,50
-0,339	-0,51
-0,342	-0,51
-0,346	-0,52
-0,350	-0,52
-0,353	-0,53
-0,357	-0,53
-0,361	-0,54
-0,365	-0,55
-0,369	-0,55
-0,373	-0,56
-0,377	-0,56
-0,380	-0,57
-0,384	-0,57
-0,388	-0,58
-0,392	-0,58
-0,396	-0,59
-0,400	-0,60
-0,404	-0,60
-0,408	-0,61
-0,412	-0,61
-0,416	-0,62
-0,420	-0,62
-0,424	-0,63
-0,428	-0,63
-0,432	-0,64
-0,436	-0,64
-0,440	-0,65
-0,444	-0,65
-0,448	-0,66
-0,452	-0,66
-0,456	-0,67
-0,460	-0,67
-0,465	-0,68
-0,469	-0,68
-0,473	-0,69
-0,477	-0,69
-0,481	-0,70
-0,486	-0,70
-0,490	-0,71
-0,494	-0,71
-0,499	-0,71
-0,503	-0,72
-0,507	-0,72
-0,512	-0,73
-0,516	-0,73
-0,521	-0,74
-0,525	-0,74
-0,530	-0,74
-0,534	-0,75
-0,538	-0,75
-0,543	-0,76
-0,547	-0,76
-0,552	-0,76
-0,556	-0,77
-0,561	-0,77
-0,565	-0,78
-0,570	-0,78
-0,575	-0,78
-0,579	-0,79
-0,584	-0,79
-0,588	-0,79
-0,593	-0,80
-0,598	-0,80
-0,602	-0,80
-0,607	-0,81
-0,611	-0,81
-0,616	-0,81
-0,620	-0,81
-0,625	-0,82
-0,629	-0,82
-0,634	-0,82
-0,638	-0,83
-0,643	-0,83
-0,647	-0,83
-0,652	-0,83
-0,656	-0,84
-0,661	-0,84
-0,665	-0,84
-0,670	-0,84
-0,674	-0,85
-0,678	-0,85
-0,683	-0,85
-0,687	-0,85
-0,691	-0,86
-0,696	-0,86
-0,700	-0,86
-0,704	-0,86
-0,709	-0,86
-0,713	-0,87
-0,717	-0,87
-0,721	-0,87
-0,726	-0,87
-0,730	-0,87
-0,734	-0,88
-0,738	-0,88
-0,742	-0,88
-0,746	-0,88
-0,750	-0,88
-0,754	-0,88
-0,758	-0,89
-0,762	-0,89
-0,766	-0,89
-0,770	-0,89
