I_1 / A	&F / Vs
-0,010	0,00
-0,010	0,00
-0,010	0,00
-0,009	0,00
-0,008	0,00
-0,008	0,00
-0,006	0,00
-0,006	0,00
-0,005	0,00
-0,005	0,00
-0,003	0,01
-0,002	0,01
-0,001	0,01
0,000	0,01
0,002	0,01
0,003	0,01
0,004	0,02
0,005	0,02
0,007	0,02
0,008	0,02
0,010	0,02
0,011	0,03
0,013	0,03
0,014	0,03
0,016	0,03
0,017	0,03
0,018	0,04
0,020	0,04
0,022	0,04
0,023	0,05
0,025	0,05
0,027	0,05
0,028	0,06
0,030	0,06
0,031	0,06
0,033	0,07
0,035	0,07
0,036	0,07
0,038	0,08
0,039	0,08
0,041	0,08
0,042	0,09
0,044	0,09
0,046	0,10
0,047	0,10
0,049	0,10
0,050	0,11
0,052	0,11
0,053	0,12
0,055	0,12
0,057	0,13
0,058	0,13
0,060	0,14
0,061	0,14
0,063	0,15
0,064	0,15
0,066	0,16
0,067	0,16
0,069	0,17
0,070	0,17
0,072	0,18
0,073	0,18
0,075	0,19
0,076	0,19
0,078	0,20
0,079	0,21
0,081	0,21
0,082	0,22
0,084	0,22
0,085	0,23
0,087	0,24
0,089	0,24
0,090	0,25
0,092	0,26
0,093	0,26
0,095	0,27
0,097	0,28
0,098	0,28
0,100	0,29
0,102	0,30
0,104	0,30
0,105	0,31
0,107	0,32
0,109	0,33
0,111	0,33
0,113	0,34
0,115	0,35
0,117	0,36
0,118	0,36
0,120	0,37
0,123	0,38
0,125	0,39
0,127	0,40
0,129	0,40
0,132	0,41
0,134	0,42
0,136	0,43
0,139	0,44
0,141	0,44
0,144	0,45
0,146	0,46
0,149	0,47
0,152	0,48
0,155	0,48
0,158	0,49
0,160	0,50
0,163	0,51
0,167	0,52
0,170	0,53
0,173	0,53
0,177	0,54
0,180	0,55
0,184	0,56
0,187	0,57
0,191	0,58
0,195	0,58
0,199	0,59
0,203	0,60
0,207	0,61
0,211	0,62
0,215	0,63
0,219	0,63
0,224	0,64
0,228	0,65
0,233	0,66
0,238	0,66
0,242	0,67
0,247	0,68
0,252	0,69
0,257	0,69
0,263	0,70
0,268	0,71
0,273	0,72
0,279	0,72
0,284	0,73
0,290	0,74
0,296	0,74
0,302	0,75
0,308	0,76
0,314	0,76
0,320	0,77
0,326	0,78
0,332	0,78
0,338	0,79
0,343	0,79
0,347	0,80
0,354	0,80
0,361	0,81
0,367	0,81
0,374	0,82
0,381	0,82
0,388	0,83
0,395	0,83
0,401	0,84
0,408	0,84
0,414	0,85
0,421	0,85
0,428	0,85
0,434	0,86
0,440	0,86
0,446	0,86
0,452	0,87
0,458	0,87
0,464	0,87
0,470	0,88
0,475	0,88
0,481	0,88
0,486	0,89
0,492	0,89
0,497	0,89
0,502	0,89
0,507	0,89
0,513	0,90
0,517	0,90
0,522	0,90
0,527	0,90
0,532	0,91
0,537	0,91
0,541	0,91
0,546	0,91
0,550	0,91
0,554	0,91
0,559	0,92
0,563	0,92
0,567	0,92
0,571	0,92
0,575	0,92
0,580	0,92
0,584	0,93
0,588	0,93
0,592	0,93
0,596	0,93
0,600	0,93
0,603	0,93
0,607	0,93
0,611	0,94
0,615	0,94
0,619	0,94
0,623	0,94
0,626	0,94
0,630	0,94
0,634	0,94
0,638	0,94
0,641	0,94
0,645	0,95
0,649	0,95
0,652	0,95
0,656	0,95
0,660	0,95
0,663	0,95
0,667	0,95
0,670	0,95
0,674	0,95
0,677	0,96
0,681	0,96
0,685	0,96
0,688	0,96
0,691	0,96
0,695	0,96
0,699	0,96
0,702	0,96
0,705	0,96
0,709	0,96
0,713	0,97
0,716	0,97
0,720	0,97
0,723	0,97
0,727	0,97
0,730	0,97
0,734	0,97
0,737	0,97
0,741	0,97
0,744	0,97
0,747	0,97
0,751	0,98
0,754	0,98
0,758	0,98
0,761	0,98
0,765	0,98
0,768	0,98
0,772	0,98
0,775	0,98
0,779	0,98
0,782	0,98
0,785	0,98
0,789	0,98
0,792	0,99
0,796	0,99
0,799	0,99
0,802	0,99
0,806	0,99
0,809	0,99
0,811	0,99
0,813	0,99
0,813	0,99
0,813	0,99
0,812	0,99
0,811	0,99
0,808	0,99
0,806	0,99
0,803	0,99
0,800	0,99
0,797	0,99
0,795	0,99
0,791	0,99
0,789	0,99
0,785	0,99
0,782	0,99
0,779	0,99
0,776	0,99
0,773	0,99
0,770	0,99
0,766	0,99
0,763	0,99
0,760	0,99
0,757	0,99
0,753	0,99
0,750	0,99
0,747	0,98
0,744	0,98
0,740	0,98
0,737	0,98
0,734	0,98
0,731	0,98
0,727	0,98
0,724	0,98
0,721	0,98
0,718	0,98
0,715	0,98
0,711	0,98
0,708	0,98
0,705	0,98
0,702	0,98
0,698	0,98
0,695	0,98
0,692	0,98
0,689	0,98
0,685	0,98
0,682	0,98
0,679	0,98
0,675	0,98
0,672	0,98
0,669	0,98
0,666	0,98
0,663	0,97
0,659	0,97
0,656	0,97
0,653	0,97
0,650	0,97
0,646	0,97
0,643	0,97
0,640	0,97
0,636	0,97
0,633	0,97
0,630	0,97
0,627	0,97
0,623	0,97
0,620	0,97
0,617	0,97
0,613	0,97
0,610	0,97
0,607	0,97
0,604	0,97
0,600	0,97
0,597	0,96
0,594	0,96
0,590	0,96
0,587	0,96
0,584	0,96
0,581	0,96
0,577	0,96
0,574	0,96
0,571	0,96
0,568	0,96
0,564	0,96
0,561	0,96
0,558	0,96
0,555	0,96
0,551	0,96
0,548	0,96
0,545	0,95
0,541	0,95
0,538	0,95
0,535	0,95
0,532	0,95
0,529	0,95
0,526	0,95
0,523	0,95
0,519	0,95
0,516	0,95
0,513	0,95
0,509	0,95
0,506	0,95
0,503	0,95
0,500	0,94
0,497	0,94
0,494	0,94
0,491	0,94
0,487	0,94
0,484	0,94
0,481	0,94
0,478	0,94
0,475	0,94
0,471	0,94
0,468	0,94
0,465	0,94
0,462	0,93
0,459	0,93
0,455	0,93
0,452	0,93
0,449	0,93
0,446	0,93
0,443	0,93
0,439	0,93
0,436	0,93
0,433	0,93
0,430	0,93
0,427	0,92
0,423	0,92
0,420	0,92
0,417	0,92
0,414	0,92
0,411	0,92
0,408	0,92
0,405	0,92
0,402	0,92
0,398	0,92
0,395	0,91
0,392	0,91
0,389	0,91
0,386	0,91
0,383	0,91
0,380	0,91
0,377	0,91
0,373	0,91
0,370	0,91
0,367	0,90
0,364	0,90
0,361	0,90
0,358	0,90
0,355	0,90
0,352	0,90
0,349	0,90
0,345	0,90
0,342	0,89
0,339	0,89
0,336	0,89
0,333	0,89
0,330	0,89
0,327	0,89
0,324	0,89
0,321	0,89
0,318	0,88
0,315	0,88
0,312	0,88
0,309	0,88
0,306	0,88
0,303	0,88
0,300	0,88
0,297	0,87
0,294	0,87
0,291	0,87
0,288	0,87
0,285	0,87
0,282	0,87
0,279	0,86
0,276	0,86
0,273	0,86
0,270	0,86
0,267	0,86
0,265	0,86
0,262	0,85
0,259	0,85
0,256	0,85
0,253	0,85
0,250	0,85
0,247	0,85
0,244	0,84
0,241	0,84
0,239	0,84
0,236	0,84
0,233	0,84
0,230	0,83
0,227	0,83
0,225	0,83
0,222	0,83
0,219	0,83
0,216	0,82
0,213	0,82
0,211	0,82
0,208	0,82
0,205	0,82
0,202	0,81
0,200	0,81
0,197	0,81
0,194	0,81
0,192	0,80
0,189	0,80
0,186	0,80
0,184	0,80
0,181	0,80
0,179	0,79
0,176	0,79
0,174	0,79
0,171	0,79
0,168	0,78
0,166	0,78
0,163	0,78
0,161	0,77
0,158	0,77
0,156	0,77
0,153	0,77
0,151	0,76
0,148	0,76
0,146	0,76
0,144	0,75
0,141	0,75
0,139	0,75
0,137	0,74
0,134	0,74
0,131	0,74
0,129	0,74
0,127	0,73
0,124	0,73
0,122	0,72
0,120	0,72
0,117	0,72
0,115	0,71
0,113	0,71
0,110	0,71
0,108	0,70
0,106	0,70
0,104	0,70
0,102	0,69
0,099	0,69
0,097	0,68
0,095	0,68
0,093	0,67
0,091	0,67
0,089	0,67
0,086	0,66
0,084	0,66
0,082	0,65
0,080	0,65
0,078	0,64
0,076	0,64
0,074	0,63
0,072	0,63
0,070	0,63
0,068	0,62
0,066	0,62
0,064	0,61
0,062	0,61
0,060	0,60
0,058	0,59
0,056	0,59
0,054	0,58
0,052	0,58
0,050	0,57
0,048	0,57
0,047	0,56
0,045	0,56
0,043	0,55
0,041	0,54
0,039	0,54
0,037	0,53
0,036	0,53
0,034	0,52
0,032	0,51
0,030	0,51
0,028	0,50
0,027	0,50
0,025	0,49
0,024	0,48
0,022	0,48
0,020	0,47
0,018	0,46
0,017	0,46
0,015	0,45
0,014	0,44
0,012	0,43
0,010	0,43
0,009	0,42
0,007	0,41
0,006	0,40
0,004	0,40
0,003	0,39
0,001	0,38
-0,001	0,37
-0,002	0,36
-0,004	0,36
-0,005	0,35
-0,006	0,34
-0,008	0,33
-0,010	0,32
-0,011	0,32
-0,013	0,31
-0,014	0,30
-0,015	0,29
-0,017	0,28
-0,018	0,27
-0,020	0,26
-0,021	0,25
-0,023	0,24
-0,024	0,23
-0,025	0,23
-0,027	0,22
-0,029	0,21
-0,030	0,20
-0,031	0,19
-0,033	0,18
-0,034	0,17
-0,036	0,16
-0,037	0,15
-0,039	0,14
-0,040	0,13
-0,042	0,12
-0,044	0,11
-0,045	0,10
-0,047	0,09
-0,049	0,07
-0,050	0,06
-0,052	0,05
-0,054	0,04
-0,055	0,03
-0,057	0,02
-0,059	0,01
-0,061	0,00
-0,062	-0,01
-0,064	-0,02
-0,066	-0,04
-0,068	-0,05
-0,070	-0,06
-0,072	-0,07
-0,074	-0,08
-0,076	-0,09
-0,078	-0,10
-0,080	-0,12
-0,082	-0,13
-0,084	-0,14
-0,086	-0,15
-0,089	-0,16
-0,091	-0,18
-0,093	-0,19
-0,095	-0,20
-0,098	-0,21
-0,100	-0,22
-0,102	-0,24
-0,105	-0,25
-0,107	-0,26
-0,110	-0,27
-0,112	-0,29
-0,115	-0,30
-0,117	-0,31
-0,120	-0,32
-0,123	-0,34
-0,125	-0,35
-0,128	-0,36
-0,131	-0,37
-0,134	-0,39
-0,137	-0,40
-0,140	-0,41
-0,143	-0,42
-0,146	-0,44
-0,149	-0,45
-0,153	-0,46
-0,156	-0,47
-0,160	-0,49
-0,163	-0,50
-0,167	-0,51
-0,171	-0,53
-0,175	-0,54
-0,179	-0,55
-0,184	-0,56
-0,188	-0,57
-0,192	-0,59
-0,197	-0,60
-0,202	-0,61
-0,207	-0,62
-0,212	-0,64
-0,217	-0,65
-0,223	-0,66
-0,228	-0,67
-0,234	-0,68
-0,240	-0,69
-0,247	-0,70
-0,253	-0,72
-0,260	-0,73
-0,267	-0,74
-0,274	-0,75
-0,281	-0,76
-0,289	-0,77
-0,297	-0,78
-0,305	-0,79
-0,313	-0,80
-0,321	-0,81
-0,330	-0,81
-0,339	-0,82
-0,348	-0,83
-0,357	-0,84
-0,366	-0,85
-0,375	-0,85
-0,385	-0,86
-0,395	-0,87
-0,404	-0,87
-0,413	-0,88
-0,423	-0,89
-0,432	-0,89
-0,442	-0,90
-0,450	-0,90
-0,459	-0,91
-0,468	-0,91
-0,477	-0,92
-0,485	-0,92
-0,493	-0,93
-0,501	-0,93
-0,509	-0,93
-0,516	-0,94
-0,524	-0,94
-0,531	-0,94
-0,537	-0,95
-0,544	-0,95
-0,551	-0,95
-0,557	-0,95
-0,563	-0,96
-0,568	-0,96
-0,574	-0,96
-0,579	-0,96
-0,585	-0,96
-0,590	-0,97
-0,595	-0,97
-0,600	-0,97
-0,605	-0,97
-0,609	-0,97
-0,614	-0,97
-0,618	-0,98
-0,623	-0,98
-0,627	-0,98
-0,631	-0,98
-0,635	-0,98
-0,639	-0,98
-0,644	-0,98
-0,648	-0,99
-0,652	-0,99
-0,655	-0,99
-0,659	-0,99
-0,663	-0,99
-0,667	-0,99
-0,671	-0,99
-0,674	-0,99
-0,678	-1,00
-0,682	-1,00
-0,686	-1,00
-0,689	-1,00
-0,693	-1,00
-0,697	-1,00
-0,700	-1,00
-0,704	-1,00
-0,708	-1,00
-0,711	-1,01
-0,715	-1,01
-0,719	-1,01
-0,722	-1,01
-0,726	-1,01
-0,730	-1,01
-0,733	-1,01
-0,737	-1,01
-0,740	-1,01
-0,744	-1,01
-0,748	-1,02
-0,751	-1,02
-0,755	-1,02
-0,758	-1,02
-0,762	-1,02
-0,766	-1,02
-0,769	-1,02
-0,772	-1,02
-0,776	-1,02
-0,780	-1,02
-0,783	-1,02
-0,787	-1,02
-0,790	-1,03
-0,794	-1,03
-0,797	-1,03
-0,800	-1,03
