Voltage [V],Radius [mm],Radius Error [mm]
4810,22.9,0.4
4500,22.5,0.4
4310,23.4,0.4
4100,24.0,0.3
3910,24.5,0.5
3690,25.8,0.3
3480,26.2,0.4
3300,26.3,0.5
3100,27.4,0.4
2900,28.5,0.4
2700,29.3,0.4
2500,30.2,0.2
2310,31.8,0.4
