,Anillo 1,Anillo 2
Pendiente,1.7663054587431044,2.8849020053848995
Ordenada en el origen,0.0006235450685987652,0.0030900631502863984
Error Pendiente,0.1174739298627192,0.09377536850834253
Error Ordenada en el origen,0.002033107477862891,0.0016229592657405825
R2,0.9536007824810452,0.9885108067484485
p-valor,1.1114739224629945e-08,5.07108658004641e-12
