,Anillo 1,Anillo 2
Pendiente,716537805.6549494,1180597870.7131665
Ordenada en el origen,0.00040817953228857763,0.001490637496467332
Error Pendiente,47550566.18517538,38384704.560334966
Error Ordenada en el origen,0.0010083866326129852,0.0008140097180905462
R2,0.9537958201014001,0.9885056542568214
p-valor,1.0859261101649799e-08,5.083618506252318e-12
